time,2022-01-02 00:00:00
x coordinate,y coordinate,water depth (m)
316097.29,8974161.22,15.3107968431441
316112.271107595,8974125.11316216,19.6340929934692
316127.613541712,8974088.13547027,23.9666337586724
316143.126157412,8974050.74761387,26.2899451788441
316158.846178175,8974012.85987847,25.7318501453487
316163.336915353,8974002.03649187,25.496725057642
316174.82537237,8973974.34749412,25.1123964965612
316191.102605768,8973935.11678817,25.7826721905884
316207.715144757,8973895.07794274,26.8444944295386
316224.715003814,8973854.1055947,27.7083114820772
316236.675567201,8973825.27874595,28.3120324849654
316242.17263172,8973812.02995137,28.7530895452705
316260.167648379,8973768.65911618,30.9300384071933
316278.762527726,8973723.84251707,33.6904461912529
316298.478009286,8973676.32508946,37.96995113355
316304.088391714,8973662.8031808,39.7256628817596
316318.551297088,8973627.94529224,41.2686999643953
316339.56469298,8973577.29968589,43.0154947938695
316362.446113436,8973522.151845,42.5517249549893
316368.078078048,8973508.57791986,42.0433590945258
316386.329335059,8973464.58950491,39.278901367796
316411.188807475,8973404.67424606,34.4217559647211
316429.972305038,8973359.40304723,31.7633323669882
316437.002136762,8973342.46004135,30.5269278060499
316463.762381003,8973277.96362189,28.285087623876
316489.822795909,8973215.15390177,22.3736564726199
316491.385492805,8973211.38755519,21.992328544194
316519.908514077,8973142.64256438,12.020318404525
316547.170786429,8973076.93617781,7.69395767747223
316549.209875408,8973072.02165098,7.53342116406773
316579.383414846,8972999.29865045,6.79505598562434
316601.768461955,8972945.3471478,6.36985146099299
316610.294797982,8972924.79732995,6.13645573674112
316642.005722254,8972848.36898891,5.61562248358361
316653.599118333,8972820.42707142,5.31168248096585
316674.477797046,8972770.10615477,4.59498799118852
316702.834897924,8972701.76105835,2.567125136104
316707.588543898,8972690.30401999,2.19506183710509
316741.231523266,8972609.2191207,0.373146880320985
316748.561279633,8972591.55324901,0.286711796447464
316774.815930328,8972528.27538993,0.253756335474942
316804.906967803,8972455.75123217,0.415662256570355
316808.202421185,8972447.80866851,0.427691472979417
316814.55,8972432.51,0.423893303017558
