time,2022-01-02 00:00:00
x coordinate,y coordinate,water depth (m)
317499.41,8974919.37,10.8258425193575
317516.857697601,8974895.08511856,12.552912243726
317538.257220028,8974865.29982099,13.4577300491803
317558.395964254,8974837.26935949,14.9374150353813
317579.101163112,8974808.45046826,18.894779257595
317586.857065656,8974797.65528038,20.2940745283364
317599.824128716,8974779.60684807,22.5157103177107
317620.615220447,8974750.66840535,24.3844187995575
317641.533324828,8974721.55317786,26.0141780186522
317662.615122626,8974692.21011084,27.2727552814959
317683.884768386,8974662.60558437,29.7410415087156
317705.366580149,8974632.70575095,33.0450302531093
317727.096307318,8974602.46085217,35.275342478584
317749.102857474,8974571.83065249,36.0325216162706
317763.208330454,8974552.19770454,36.2522826188555
317771.398202637,8974540.79848846,36.4170583112287
317793.993046779,8974509.34946156,35.2599365012907
317816.927628931,8974477.42756441,31.5526656497462
317840.224861891,8974445.00090542,26.5413927351555
317863.904438162,8974412.04207524,21.4472902491101
317887.989974562,8974378.51820239,16.3718730397947
317891.008444017,8974374.31689317,15.7875771145154
317912.477686895,8974344.43455398,11.5767571989398
317937.429558355,8974309.7048576,11.3359597911386
317963.199033444,8974273.8371654,18.0610144156296
317990.783729101,8974235.44292687,28.0563389603141
318000.623468068,8974221.747315,30.5501658613433
318019.885089263,8974194.93769246,33.7141909803071
318034.54,8974174.54,33.5924313957254
