time,2022-01-02 00:00:00
x coordinate,y coordinate,water depth (m)
319000,8973000,0.192681033789233
318998.7655422,8973001.2344578,0.191143220707276
318968.081743511,8973031.91825649,0.144402696619123
318938.130500734,8973061.86949927,0.226322081163676
318908.793108578,8973091.20689142,0.389148038752947
318879.946263851,8973120.05373615,0.424482933904278
318875.410479559,8973124.58952044,0.433728793618082
318851.456734983,8973148.54326502,0.441336371775392
318823.233956676,8973176.76604332,0.45672799656543
318795.18060382,8973204.81939618,0.414564323282062
318767.202117033,8973232.79788297,0.43022584807287
318739.206739065,8973260.79326094,0.467421754204687
318723.122990062,8973276.87700994,0.451847804216497
318711.086446382,8973288.91355362,0.440515623323435
318682.744818437,8973317.25518156,0.456819894755745
318654.109313668,8973345.89068633,0.505310154468888
318625.081838879,8973374.91816112,0.518362109959999
318595.572411642,8973404.42758836,0.741738556366738
318568.32980818,8973431.67019182,0.690260598348826
318566.16638154,8973433.83361846,0.700567821134914
318535.389246362,8973464.61075364,0.658658318566703
318503.461274256,8973496.53872574,0.50298930046887
318471.792251327,8973528.20774867,0.486394309855844
318439.776510261,8973560.22348974,0.482150009165261
318407.447418215,8973592.55258179,0.475745174946413
318406.634392269,8973593.36560773,0.476955612672952
318374.793645062,8973625.20635494,0.94509941296285
318341.909482805,8973658.09051719,6.18491347264987
318308.843989102,8973691.1560109,16.7793804036117
318275.644726737,8973724.35527326,24.7681776925388
318242.350246772,8973757.64975323,28.5001811451254
318231.702825247,8973768.29717475,29.4038687236338
318208.936629376,8973791.06337062,31.4166221775491
318175.408667618,8973824.59133238,33.0477661622147
318141.778961016,8973858.22103898,31.392939928394
318108.054315545,8973891.94568446,27.9125133973921
318074.239904427,8973925.76009557,27.772259402463
318043.494416407,8973956.50558359,30.0795116961199
318040.327314441,8973959.67268556,30.3654438590712
318006.285811567,8973993.71418843,30.444530634237
317972.123062916,8974027.87693708,27.4124146886389
317937.804899579,8974062.19510042,25.392335089411
317903.86296653,8974096.13703347,26.1650074390314
317871.291034964,8974128.70896504,26.5949973191899
317840.346823471,8974159.65317653,23.5539687830729
317834.058118996,8974165.941881,22.5221323071909
317810.234568085,8974189.76543191,18.3560331397593
317780.416326346,8974219.58367365,18.208617447828
317750.858118596,8974249.1418814,24.5897717533421
317721.536940261,8974278.46305974,30.8505162451697
317692.439891351,8974307.56010865,36.3917679622892
317663.560600012,8974336.43939999,42.0479387435639
317634.890787476,8974365.10921252,45.5740847632905
317606.428329039,8974393.57167096,45.6249209698701
317578.171636398,8974421.8283636,42.9632556207793
317550.113794268,8974449.88620573,37.2372629494813
317522.240836569,8974477.75916343,28.7338855963365
317494.531571757,8974505.46842824,20.0727055661261
317466.9806439,8974533.0193561,13.5603854087384
317439.58424231,8974560.41575769,10.4923713672182
317412.322501162,8974587.67749884,5.62009935017264
317385.1635359,8974614.8364641,0.964511153082258
317358.080724585,8974641.91927542,0.41179732618323
317331.960589913,8974668.03941009,0.372556902001832
317305.439800946,8974694.56019905,0.39638035092364
317278.616894762,8974721.38310524,0.397378386913173
317253.033005759,8974746.96699424,0.339693638887727
317227.854724855,8974772.14527515,0.293077672005744
317203.023117946,8974796.97688205,0.317192208153274
317178.489272707,8974821.51072729,0.383881666360836
317154.20389742,8974845.79610258,0.417031116034215
317130.126398475,8974869.87360153,0.420472555710805
317106.228293623,8974893.77170638,0.440795786057835
317082.474504777,8974917.52549522,0.448957215002931
317058.833611528,8974941.16638847,0.438718989662315
317035.269536253,8974964.73046375,0.428971276027279
317011.757505018,8974988.24249498,0.428471405158176
317000,8975000,0.424367971894921
