Local;X1;Y1;X3;Y3;d;dir;longitudinal
Lançamento;314215,94;8973859,3;315900;8972000;100;csv/Seções/314265.94, 8973859.30, 316010.99, 8972067.37.csv;F
Antes ADCP;316097,29;8974161,22;316814,55;8972432,51;100;csv/Seções/316097.29, 8974161.22 , 316814.55, 8972432.51.csv;F
ADCP;316899,1;8974072;317533,33;8972538,86;100;csv/Seções/316899.1, 8974072, 317533.32705693, 8972538.86446214.csv;F
Centro;319000;8973000;317000;8975000;100;csv/Seções/319000, 8973000,317000, 8975000.csv;F
log boom;317459,41;8974879,37;317994,54;8974134,54;100;csv/Seções/317459.41, 8974879.37, 317994.54, 8974134.54.csv;F
log boom canal;317900,54;8975349,99;318364,29;8974950,47;100;csv/Seções/317900.54, 8975349.99, 318364.29, 8974950.47.csv;F
inteira;317315,36;8975917,28;319532,73;8973852,58;100;csv/Seções/317315.36, 8975917.28, 319532.73, 8973852.58.csv;F
CFMD;318578,31;8975268,01;319762,02;8974362,35;100;csv/Seções/318578.31, 8975268.01, 319762.02, 8974362.35.csv;F
CFME;318774,97;8977736,44;318842,94;8976704,35;100;csv/Seções/318774.97, 8977736.44, 318842.94, 8976704.35.csv;F
Longitudinal;316384,94;8973217,94;319483,75;8975146,48;100;csv/Seções/316384.94, 8973217.94, 319483.75, 8975146.48.csv;T
log boom desv;317185,8;8975477;319181,3;8973881;100;"csv/Seções/317185.8, 8975477; 319181.3, 8973881.csv";F
